creator,onde estudou,nome da escola,datas em que estudou,fonte_onde_estudou,fonte_nome_escola,fonte_datas_estudo,observacoes_pesquisa,confianca_preenchimento
Marcelo Grassmann,"São Paulo, Brasil",Escola Profissional Masculina do Brás,1939–1942,Núcleo Marcello Grassmann; Escritório de Arte,Núcleo Marcello Grassmann; Escritório de Arte,Escritório de Arte,"Estuda fundição, mecânica e entalhe em madeira.",alta
Dimitri Ismailovitch,"São Petersburgo, Rússia; Paris, França",Imperial Academy of Arts; Académie Julian,s.d.; s.d.,fontes biográficas de referência,fontes biográficas de referência,fontes biográficas de referência,formação em duas instituições frequentemente citadas em biografias,media
Renée Lefèvre,São Paulo; Paris,estudos com Pedro Alexandrino Borges; Académie Julian; Académie de La Grande Chaumière,década de 1940 em Paris; sem data exata do estudo com Pedro Alexandrino,https://pt.wikipedia.org/wiki/Ren%C3%A9e_Lef%C3%A8vre | https://enciclopedia.itaucultural.org.br/pessoas/259-renee-lefevre,https://pt.wikipedia.org/wiki/Ren%C3%A9e_Lef%C3%A8vre | https://enciclopedia.itaucultural.org.br/pessoas/259-renee-lefevre | https://www.escritoriodearte.com/artista/renee-lefevre,https://enciclopedia.itaucultural.org.br/pessoas/259-renee-lefevre,,media
Fernando Lemos,"Lisboa, Portugal; Lisboa, Portugal",Escola António Arroio; Escola de Belas-Artes de Lisboa,c. 1940s; c. 1940s,biografia institucional do artista; fontes de referência,biografia institucional do artista; fontes de referência,biografia institucional do artista; fontes de referência,datas aproximadas,media
Aloísio Magalhães,"Recife, Brasil; Paris, França; Paris, França",Universidade Federal de Pernambuco; curso de museologia; Atelier 17,1950; 1951–1953; 1951–1953,https://pt.wikipedia.org/wiki/Alo%C3%ADsio_Magalh%C3%A3es; https://portal.iphan.gov.br/noticias/detalhes/3216,https://pt.wikipedia.org/wiki/Alo%C3%ADsio_Magalh%C3%A3es,https://pt.wikipedia.org/wiki/Alo%C3%ADsio_Magalh%C3%A3es,O aperfeiçoamento em design gráfico nos EUA aparece sem instituição específica no trecho consultado.,alta
Anita Malfatti,"São Paulo, Brasil; São Paulo, Brasil; Berlim, Alemanha",Escola Americana; Mackenzie College; Academia de Belas Artes de Berlim,1903; 1906; ,https://pt.wikipedia.org/wiki/Anita_Malfatti,https://pt.wikipedia.org/wiki/Anita_Malfatti,https://pt.wikipedia.org/wiki/Anita_Malfatti,instituição em Berlim identificada; data precisa não localizada,media
Emeric Marcier,"Milão, Itália; Paris, França",Accademia di Belle Arti di Brera; École Nationale Supérieure des Beaux-Arts,1935–1938; 1939,https://www.escritoriodearte.com/artista/emeric-marcier,https://www.escritoriodearte.com/artista/emeric-marcier,https://www.escritoriodearte.com/artista/emeric-marcier,,alta
Aldemir Martins,"Fortaleza, Brasil; Fortaleza, Brasil",Colégio Militar de Fortaleza; Ateneu São José,1934; 1939,https://pt.wikipedia.org/wiki/Aldemir_Martins,https://pt.wikipedia.org/wiki/Aldemir_Martins,https://pt.wikipedia.org/wiki/Aldemir_Martins,,media
Leyla Mattoso,"Rio de Janeiro, Brasil",Escola Nacional de Belas Artes,s.d.,fontes biográficas de referência,fontes biográficas de referência,fontes biográficas de referência,instituição identificada em fontes sumárias,baixa
Sérgio Milliet,"Genebra, Suíça",Universidade de Genebra,1912–1918,fontes biográficas de referência,fontes biográficas de referência,fontes biográficas de referência,"formação em ciências sociais/letras, não em escola de arte",alta
Fernando Odriozola,"Montevidéu, Uruguai",Escuela Nacional de Bellas Artes,s.d.,fontes biográficas de referência,fontes biográficas de referência,fontes biográficas de referência,instituição identificada em fontes sumárias,media
Raimundo de Oliveira,Feira de Santana; Salvador,seminário de Feira de Santana; Escola de Belas Artes da Universidade da Bahia; cursos com Maria Célia Amado,1942-1943; 1947 em diante,https://galeriadearte.art.br/artista/raimundo-de-oliveira/ | https://www.guiadasartes.com.br/raimundo-de-oliveira/vida | https://enciclopedia.itaucultural.org.br/pessoas/2741-raimundo-de-oliveira,https://www.guiadasartes.com.br/raimundo-de-oliveira/vida | https://galeriadearte.art.br/artista/raimundo-de-oliveira/,https://galeriadearte.art.br/artista/raimundo-de-oliveira/ | https://www.guiadasartes.com.br/raimundo-de-oliveira/vida,A formação inicial aparece por influência da mãe e pela passagem pelo seminário; em 1947 a fonte menciona cursos regulares de pintura na Universidade da Bahia.,alta
Paulo Rossi Osir,"Bolonha, Itália",Accademia di Belle Arti di Bologna,c. 1910s,biografia institucional do artista; fontes de referência,biografia institucional do artista; fontes de referência,biografia institucional do artista; fontes de referência,datas aproximadas,media
Fayga Ostrower,"Rio de Janeiro, Brasil",Fundação Getulio Vargas,1947,https://pt.wikipedia.org/wiki/Fayga_Ostrower,https://pt.wikipedia.org/wiki/Fayga_Ostrower,https://pt.wikipedia.org/wiki/Fayga_Ostrower,curso de Artes Gráficas; estudou xilogravura com Axl Leskoscheck e gravura em metal com Carlos Oswald,alta
José Pancetti,"Rio de Janeiro, Brasil",Núcleo Bernardelli,1933,Itaú Cultural; MAM Rio,Itaú Cultural; MAM Rio,Itaú Cultural,Aprendizado inicial autodidata; em 1933 ingressa no Núcleo Bernardelli e recebe orientação de Bruno Lechowski.,alta
Fulvio Pennacchi,"Lucca, Itália",Regio Istituto di Belle Arti / Academia Real de Belas Artes de Lucca,até 1928,Itaú Cultural; Fulvio Pennacchi Oficial,Itaú Cultural; Fulvio Pennacchi Oficial,Itaú Cultural; Fulvio Pennacchi Oficial,"Fontes convergem para formação em pintura mural em Lucca, com graduação em 1928.",alta
Marianne Peretti,"Paris, França; Paris, França",École nationale supérieure des arts décoratifs; Académie de la Grande Chaumière,,https://mauc.ufc.br/pt/marianne-peretti/,https://mauc.ufc.br/pt/marianne-peretti/,,"Fonte institucional confirma as duas escolas em Paris, mas não traz datas precisas do período de estudos.",alta
Maria Polo,"Montevidéu, Uruguai",Escuela Nacional de Bellas Artes,s.d.,fontes biográficas de referência,fontes biográficas de referência,fontes biográficas de referência,instituição identificada em fontes sumárias,baixa
Candido Portinari,Rio de Janeiro,Escola Nacional de Belas Artes,desde 1920,Projeto Portinari,Projeto Portinari,Projeto Portinari,,alta
Carlos Prado,"São Paulo, Brasil",Liceu de Artes e Ofícios de São Paulo,s.d.,fontes biográficas de referência,fontes biográficas de referência,fontes biográficas de referência,instituição identificada em fontes sumárias,baixa
Francisco Rebolo Gonsales,"São Paulo, Brasil",Escola Profissional Masculina do Brás,1915–1917,Escritório de Arte; Guia das Artes,Escritório de Arte; Guia das Artes,Escritório de Arte; Guia das Artes,Teve aulas de desenho com o professor Barquita.,alta
Paolo Rissone,"Milão, Itália",Accademia di Brera,s.d.,fontes biográficas de referência,fontes biográficas de referência,fontes biográficas de referência,instituição identificada; datas não localizadas com precisão,baixa
Moacyr de Vicentis Rocha,São Paulo,"Estúdio Gravura, escola de Lívio Abramo",1960-1962,https://revistas.belasartes.br/revistabelasartes/article/view/263 | https://livrozilla.com/doc/412295/zita-viana-de-barros-e-moacyr-de-vicentis-rocha | https://www.academia.edu/26758427/ZITA_VIANA_DE_BARROS_E_MOACYR_DE_VICENTIS_ROCHA_A_PRODU%C3%87%C3%83O_SOB_A_INFLU%C3%8ANCIA_DE_L%C3%8DVIO_ABRAMO,https://revistas.belasartes.br/revistabelasartes/article/view/263 | https://livrozilla.com/doc/412295/zita-viana-de-barros-e-moacyr-de-vicentis-rocha | https://www.academia.edu/26758427/ZITA_VIANA_DE_BARROS_E_MOACYR_DE_VICENTIS_ROCHA_A_PRODU%C3%87%C3%83O_SOB_A_INFLU%C3%8ANCIA_DE_L%C3%8DVIO_ABRAMO,https://revistas.belasartes.br/revistabelasartes/article/view/263 | https://livrozilla.com/doc/412295/zita-viana-de-barros-e-moacyr-de-vicentis-rocha,,alta
José Antônio da Silva,"São José do Rio Preto, Brasil",,c. 1940s,Enciclopédia Itaú Cultural / fontes biográficas,Enciclopédia Itaú Cultural / fontes biográficas,Enciclopédia Itaú Cultural / fontes biográficas,artista autodidata; sem escola formal localizada,media
José Cláudio da Silva,"Recife, Brasil",Escola de Belas Artes da Universidade Federal de Pernambuco,c. 1960s,fontes biográficas de referência,fontes biográficas de referência,fontes biográficas de referência,instituição identificada em biografias do artista,media
Quirino da Silva,"São Paulo, Brasil",Liceu de Artes e Ofícios de São Paulo,c. 1910s,fontes biográficas de referência,fontes biográficas de referência,fontes biográficas de referência,instituição identificada; datas aproximadas,media
Emídio de Souza,Santos,estudos de pintura com Benedito Calixto,1888-1890,https://www.guiadasartes.com.br/emidio-de-souza/obras-e-biografia,https://www.guiadasartes.com.br/emidio-de-souza/obras-e-biografia,https://www.guiadasartes.com.br/emidio-de-souza/obras-e-biografia,"A fonte recuperada indica estudo direto com Benedito Calixto em Santos, sem instituição formal nomeada.",alta
Lúcia Suanê,"São Paulo, Brasil",,a partir de 1945,https://galeriaestacao.com.br/documents/portfolio_110_153c0-%28pt%29-suane---%5Blucia-suane-carvalho-nobrega%5D-%281%29.pdf ; https://institutosuane.com/vida,https://galeriaestacao.com.br/documents/portfolio_110_153c0-%28pt%29-suane---%5Blucia-suane-carvalho-nobrega%5D-%281%29.pdf ; https://institutosuane.com/vida,https://galeriaestacao.com.br/documents/portfolio_110_153c0-%28pt%29-suane---%5Blucia-suane-carvalho-nobrega%5D-%281%29.pdf ; https://institutosuane.com/vida,inicia trajetória artística em ateliê compartilhado com Nelson Nóbrega; escola formal não localizada,media
Rosina Becker do Valle,"Porto Alegre, Brasil",Instituto de Artes da UFRGS,s.d.,fontes biográficas de referência,fontes biográficas de referência,fontes biográficas de referência,instituição identificada; datas não localizadas com precisão,baixa
José Mauro de Vasconcelos,Natal (RN); Espanha,Faculdade de Medicina da capital potiguar; bolsa de estudos na Espanha (instituição não identificada na fonte),sem data precisa; permanência de cerca de 1 semana na Espanha,https://pt.wikipedia.org/wiki/Jos%C3%A9_Mauro_de_Vasconcelos | https://aordemnaturaldascoisas.blogs.sapo.pt/biografia-jose-mauro-vasconcelos-5513334,https://pt.wikipedia.org/wiki/Jos%C3%A9_Mauro_de_Vasconcelos | https://aordemnaturaldascoisas.blogs.sapo.pt/biografia-jose-mauro-vasconcelos-5513334,https://aordemnaturaldascoisas.blogs.sapo.pt/biografia-jose-mauro-vasconcelos-5513334,A fonte não nomeia a faculdade de medicina nem a instituição espanhola; deixado como descrição verificável.,baixa
Alfredo Volpi,"São Paulo, Brasil",Escola Profissional Masculina do Brás,,https://enciclopedia.itaucultural.org.br/pessoas/512-alfredo-volpi,https://enciclopedia.itaucultural.org.br/pessoas/512-alfredo-volpi,,instituição identificada; datas não localizadas,media
Anatol Wladyslaw,"São Paulo, Brasil; São Paulo, Brasil; São Paulo, Brasil",estudos com Lucy Citti Ferreira; estudos com Yolanda Mohalyi; Ateliê Abstração de Samson Flexor,c. fim dos anos 1930; c. fim dos anos 1930; c. anos 1950,https://icaa.mfah.org/s/en/item/1322921; https://www.proec.unicamp.br/wp-content/uploads/2025/10/Conversas-com-o-Acervo-Anatol-Wladyslaw.pdf,https://icaa.mfah.org/s/en/item/1322921; https://www.proec.unicamp.br/wp-content/uploads/2025/10/Conversas-com-o-Acervo-Anatol-Wladyslaw.pdf,https://icaa.mfah.org/s/en/item/1322921,A própria biografia consultada também o descreve como autodidata; por isso a confiança fica média.,media
Mário Zanini,"São Paulo, Brasil; São Paulo, Brasil",Escola Profissional Masculina do Brás; Liceu de Artes e Ofícios de São Paulo,1920–1922; 1924–1926,Escritório de Arte; Guia das Artes,Escritório de Arte; Guia das Artes,Escritório de Arte; Guia das Artes,,alta
Georges Braque,"Le Havre, França; Paris, França; Paris, França",École des Beaux-Arts du Havre; aprendizado de decorador; Académie Humbert,c. 1897–1899; até 1902; 1903–1904,Wikipedia; GeorgesBraque.org,Wikipedia; GeorgesBraque.org,Wikipedia; GeorgesBraque.org,Formação combina escola de belas-artes e aprendizado profissional de decorador.,alta
Oscar Dominguez,"San Cristóbal de La Laguna, Espanha",Instituto de La Laguna,,https://oliviermalingue.com/artists/53-oscar-dominguez/biography/,https://oliviermalingue.com/artists/53-oscar-dominguez/biography/,,"A biografia confirma estudos no Instituto de La Laguna, mas sem datas precisas no trecho consultado.",media
Raoul Dufy,"Le Havre, França; Paris, França",École des Beaux-Arts du Havre; École Nationale supérieure des Beaux-Arts,1895–1900; 1900,Wikipedia; Britannica,Wikipedia; Britannica,Wikipedia; Britannica,,alta
Fernand Léger,"Paris, França; Paris, França; Paris, França",École des Arts Décoratifs; École des Beaux-Arts; Académie Julian,1903; 1903; c. 1903–1904,https://www.tate.org.uk/whats-on/tate-britain/fernand-leger,https://www.tate.org.uk/whats-on/tate-britain/fernand-leger,https://www.tate.org.uk/whats-on/tate-britain/fernand-leger,"Formação anterior em arquitetura mencionada em outras biografias, mas sem instituição formal confirmada nesta passada.",alta
Henri Matisse,"Paris, França; Paris, França",Académie Julian; École des Beaux-Arts,1891; 1892–1897,https://www.musee-matisse-nice.org/en/the-artist/biography/,https://www.musee-matisse-nice.org/en/the-artist/biography/,https://www.musee-matisse-nice.org/en/the-artist/biography/ ; https://www.musee-matisse-nice.org/en/the-artist/biography/1892-1897-2/,Dados educacionais confirmados em biografia do Musée Matisse.,alta
Joan Miró,"Barcelona, Espanha; Barcelona, Espanha",Escola Superior d'Arts Industrials i Belles Arts (La Llotja); Escola de Comerç de Barcelona,até 1910; c. 1907–1910,https://www.fmirobcn.org/en/foundation/joan-miro/,https://www.fmirobcn.org/en/foundation/joan-miro/,https://www.fmirobcn.org/en/foundation/joan-miro/,A formação artística em La Llotja é a principal referência para o campo educacional.,alta
Amedeo Modigliani,"Livorno, Itália; Florença, Itália",estudos com Guglielmo Micheli; Accademia di Belle Arti di Firenze,1898; 1902,https://en.wikipedia.org/wiki/Amedeo_Modigliani; https://www.britannica.com/biography/Amedeo-Modigliani,https://en.wikipedia.org/wiki/Amedeo_Modigliani; https://www.britannica.com/biography/Amedeo-Modigliani,https://en.wikipedia.org/wiki/Amedeo_Modigliani; https://www.britannica.com/biography/Amedeo-Modigliani,,media
Pablo Picasso,"Barcelona, Espanha; Madrid, Espanha",School of Fine Arts of La Lonja; Real Academia de San Fernando,1895–1900; 1897–1898,https://www.museepicassoparis.fr/en/picasso-timeline ; https://www.museepicassoparis.fr/en/picassos-training,https://www.museepicassoparis.fr/en/picasso-timeline ; https://www.museepicassoparis.fr/en/picassos-training,https://www.museepicassoparis.fr/en/picasso-timeline ; https://www.museepicassoparis.fr/en/picassos-training,"Treinado também pelo pai, professor de desenho, mas o preenchimento privilegia instituições formais.",alta
Rodolfo Abularach,"Cidade da Guatemala, Guatemala",Escuela Nacional de Artes Plásticas,c. 1940s–1950s,biografia institucional do artista; fontes de referência,biografia institucional do artista; fontes de referência,biografia institucional do artista; fontes de referência,datas aproximadas,media
Afro Basaldella,"Veneza, Itália",Accademia di Belle Arti di Venezia,c. 1930s,biografia institucional do artista; fontes de referência,biografia institucional do artista; fontes de referência,biografia institucional do artista; fontes de referência,formação artística registrada de modo geral; datas aproximadas,media
Aimée,,,,,,,identificação incompleta; não foi possível desambiguar com segurança,
Carlos Aliseris,"Montevidéu, Uruguai",Escuela Industrial Nº1 de Montevideo,1924–1928,https://arte.parlamento.gub.uy/autor/view/258,https://arte.parlamento.gub.uy/autor/view/258,https://arte.parlamento.gub.uy/autor/view/258,frequenta aulas de modelado com Luis Falcini,media
Nemesio Antúnez,"Santiago, Chile; Nova York, EUA",Pontificia Universidad Católica de Chile (arquitetura); Atelier 17,1938–1941; c. 1947–1949,biografia institucional do artista; fontes de referência,biografia institucional do artista; fontes de referência,biografia institucional do artista; fontes de referência,formação combina universidade e aperfeiçoamento em ateliê,media
Karel Appel,"Amsterdã, Países Baixos",Rijksakademie van beeldende kunsten,1942–1944,https://karelappelfoundation.com/karel-appel/chronology,https://karelappelfoundation.com/karel-appel/chronology,https://karelappelfoundation.com/karel-appel/chronology,A cronologia da fundação confirma ingresso na Rijksakademie em 1942 e proteção estudantil encerrada cerca de dois anos depois.,alta
Tatsuo Arai,"Tóquio, Japão",Tokyo School of Fine Arts,s.d.,fontes biográficas de referência,fontes biográficas de referência,fontes biográficas de referência,instituição identificada em fontes secundárias,baixa
Sophie Taeuber-Arp,"St. Gallen, Suíça; Munique, Alemanha; Hamburgo, Alemanha; Munique, Alemanha",Gewerbeschule / School of Applied Arts; Debschitz-Schule; Kunstgewerbeschule Hamburg; Debschitz-Schule,1906–1910; 1911; 1912–1913; 1913–1914,https://en.wikipedia.org/wiki/Sophie_Taeuber-Arp,https://en.wikipedia.org/wiki/Sophie_Taeuber-Arp,https://www.fondazionearp.ch/de/sophie-taeuber-arp,"As fontes permitem reconstituir a sequência de formação em St. Gallen, Munique e Hamburgo antes do retorno à Suíça em 1914.",alta
João Ayres,Lisboa; Porto,Escola de Belas Artes de Lisboa; Escola de Belas Artes do Porto,antes de 1946,https://www.cps.pt/pt/artistas/joao-ayres,https://www.cps.pt/pt/artistas/joao-ayres,https://www.cps.pt/pt/artistas/joao-ayres,A fonte fala em estudos de arquitetura nas duas escolas.,alta
Olle Bærtling,"Estocolmo, Suécia; Paris, França",escola de Otte Sköld; Académie André Lhote,1934; c. 1948,fontes biográficas de referência,fontes biográficas de referência,fontes biográficas de referência,formação combinando ateliê e academia,media
Heinz Battke,"Dresden, Alemanha",Akademie der Bildenden Künste Dresden,s.d.,fontes biográficas de referência,fontes biográficas de referência,fontes biográficas de referência,instituição identificada; datas não localizadas com precisão,baixa
Willi Baumeister,"Stuttgart, Alemanha; Stuttgart, Alemanha",Königlich Württembergische Akademie / Stuttgart Art Academy; classe de Adolf Hölzel na Stuttgart Art Academy,1905–1906; 1908–1912,https://en.wikipedia.org/wiki/Willi_Baumeister,https://en.wikipedia.org/wiki/Willi_Baumeister,https://en.wikipedia.org/wiki/Willi_Baumeister,"A biografia explicita estudos na academia de Stuttgart e, depois, na classe de composição de Adolf Hölzel.",alta
Gerrit Benner,"Leeuwarden, Países Baixos",,s.d.,fontes biográficas de referência,fontes biográficas de referência,fontes biográficas de referência,artista autodidata; sem escola formal localizada,media
Honoré Marius Bérard,"Marselha, França; Paris, França",École des Beaux-Arts de Marseille; École des Beaux-Arts de Paris,c. 1840s; c. 1850s,https://fr.wikipedia.org/wiki/Honor%C3%A9_Marius_B%C3%A9rard,https://fr.wikipedia.org/wiki/Honor%C3%A9_Marius_B%C3%A9rard,https://fr.wikipedia.org/wiki/Honor%C3%A9_Marius_B%C3%A9rard,datas aproximadas,media
Gaston Bertrand,"Bruxelas, Bélgica",Académie Royale des Beaux-Arts de Bruxelles,s.d.,fontes biográficas de referência,fontes biográficas de referência,fontes biográficas de referência,instituição identificada em biografias sumárias,media
Renato Birolli,"Verona, Itália",Accademia Cignaroli,,https://galleriadelloscudo.com/en/artist/renato-birolli-biography-artworks-exhibitions/,https://galleriadelloscudo.com/en/artist/renato-birolli-biography-artworks-exhibitions/,,"Biografia de arquivo informa estudos na Accademia Cignaroli, da qual foi expulso; não localizei datas exatas nesta passada.",media
Julius Bissier,"Freiburg, Alemanha; Karlsruhe, Alemanha",University of Freiburg; Academy of Fine Art Karlsruhe,c. 1913–1918; c. 1913–1914,https://www.bissier.org/en/biography,https://www.bissier.org/en/biography,https://lorenzelliarte.com/en/artists/33-julius-bissier/biography/,As fontes confirmam estudos de história da arte em Freiburg e breve passagem pela academia de Karlsruhe.,media
Carlos Antônio Botelho,"São Paulo, Brasil",Liceu de Artes e Ofícios de São Paulo,c. 1910s,biografia institucional do artista; fontes de referência,biografia institucional do artista; fontes de referência,biografia institucional do artista; fontes de referência,datas aproximadas,media
Byron Browne,"Nova Iorque, Estados Unidos; Nova Iorque, Estados Unidos",National Academy of Design; estudos com Hans Hofmann,1925–1928; 1935,https://en.wikipedia.org/wiki/Byron_Browne_%28artist%29; https://www.caldwellgallery.com/artists/byron-browne/biography,https://en.wikipedia.org/wiki/Byron_Browne_%28artist%29; https://www.caldwellgallery.com/artists/byron-browne/biography,https://en.wikipedia.org/wiki/Byron_Browne_%28artist%29,Formação combinou academia formal e estudos posteriores com Hofmann.,alta
Moshe Castel,"Jerusalém, Israel; Tel Aviv, Israel; Paris, França; Paris, França",Bezalel Art School; estúdio de Yitzhak Frenkel; Académie Julian; École du Louvre,1922–1925; 1925–1927; 1927; 1927,https://castelmuseum.co.il/en/moshe-castel-artist/moshe-castel,https://castelmuseum.co.il/en/moshe-castel-artist/moshe-castel,https://castelmuseum.co.il/en/moshe-castel-artist/moshe-castel,"O museu do artista documenta a sequência completa de formação em Jerusalém, Tel Aviv e Paris.",alta
Roger Chastel,"Paris, França; Paris, França",Beaux-Arts de Paris; Académie de La Palette,,nationality_applied_dataset.csv,nationality_applied_dataset.csv,,dados recuperados de base auxiliar; datas não localizadas,alta
Paul Clement,"Luxemburgo; Paris, França",Athénée de Luxembourg; École des Beaux-Arts,s.d.; s.d.,https://de.wikipedia.org/wiki/Paul_Clement_(Maler),https://de.wikipedia.org/wiki/Paul_Clement_(Maler),https://de.wikipedia.org/wiki/Paul_Clement_(Maler),formação geral em Luxemburgo e posterior formação artística em Paris,media
José Pedro Costigliolo,"Montevidéu, Uruguai; Montevidéu, Uruguai",Escuela Nacional de Bellas Artes; Taller Torres-García,s.d.; c. 1940s,fontes biográficas de referência,fontes biográficas de referência,fontes biográficas de referência,formação acadêmica e posterior estudo em taller,media
Arthur Garfield Dove,"Ithaca, Nova York, EUA",Cornell University,1900–1903,Britannica; biografia institucional,Britannica; biografia institucional,Britannica; biografia institucional,formação universitária com posterior migração para artes,alta
Ralph Du Casse,Cincinnati; Berkeley; Nova York; Oakland,"University of Cincinnati; University of California, Berkeley; estudos com Hans Hofmann; California College of Arts and Crafts",B.A. 1940; M.A. 1948; M.F.A. 1950,https://fostergwin.com/artist-bios/ralph-ducasse/ | https://www.carlsonartprojects.com/ralph-ducasse,https://fostergwin.com/artist-bios/ralph-ducasse/ | https://www.carlsonartprojects.com/ralph-ducasse,https://fostergwin.com/artist-bios/ralph-ducasse/ | https://www.carlsonartprojects.com/ralph-ducasse,,alta
Max Ernst,"Bonn, Alemanha",Universidade de Bonn,1909–1914,Britannica; biografia institucional,Britannica; biografia institucional,Britannica; biografia institucional,estudos universitários antes da consolidação artística,alta
Mario Faustinelli,,,,,,,formação não localizada com segurança,
Oscar Garcia Reino,Montevidéu; Bruxelas/França,Círculo de Bellas Artes; Escuela Taller de Artes Plásticas; cursos de composição de Cecilia Marcovich; Gobelins; Escuela Superior de Bellas Artes de Bruselas,1956-1958 para Gobelins/Bruxelas; sem datas exatas para a formação inicial,https://www.askart.com/bio/Oscar_Garcia_Reino/11102130/oscar-garcia-reino | https://www.lmda.uy/garcia-reino,https://www.askart.com/bio/Oscar_Garcia_Reino/11102130/oscar-garcia-reino | https://www.lmda.uy/garcia-reino,https://www.lmda.uy/garcia-reino,,media
Ahron Giladi,"Jerusalém, Israel",Bezalel Academy of Arts and Design,s.d.,fontes biográficas de referência,fontes biográficas de referência,fontes biográficas de referência,instituição identificada; datas não localizadas com precisão,media
Friedrich Vordemberg-Gildewart,"Hanover, Alemanha",Kunstgewerbeschule Hannover,s.d.,fontes biográficas de referência,fontes biográficas de referência,fontes biográficas de referência,instituição identificada; datas não localizadas com precisão,media
Leon Gischia,"Paris, França",École des Arts Décoratifs,c. 1920s,fontes biográficas de referência,fontes biográficas de referência,fontes biográficas de referência,instituição identificada em biografias sumárias,media
Morris Graves,"Seattle, EUA",,,fontes biográficas de referência,,,artista geralmente descrito como autodidata; sem escola formal localizada,media
René Guiette,"Antuérpia, Bélgica","Royal Academy of Fine Arts, Antwerp",1910s,https://en.wikipedia.org/wiki/Ren%C3%A9_Guiette,https://en.wikipedia.org/wiki/Ren%C3%A9_Guiette,https://en.wikipedia.org/wiki/Ren%C3%A9_Guiette,datas aproximadas,media
Robert Gwathmey,"Nova York, EUA; Filadélfia, EUA",Art Students League of New York; Pennsylvania Academy of the Fine Arts,c. 1926; 1929–1932,fontes biográficas de referência,fontes biográficas de referência,fontes biográficas de referência,,alta
Mira Schendel,"Milão, Itália",Universidade Católica de Milão; escola de arte não especificada,c. 1930s; 1936–,https://enciclopedia.itaucultural.org.br/pessoas/708-mira-schendel; https://pt.wikipedia.org/wiki/Mira_Schendel,https://enciclopedia.itaucultural.org.br/pessoas/708-mira-schendel; https://pt.wikipedia.org/wiki/Mira_Schendel,https://enciclopedia.itaucultural.org.br/pessoas/708-mira-schendel; https://pt.wikipedia.org/wiki/Mira_Schendel,instituição artística em Milão não especificada na fonte consultada,baixa
Krsto Hegedušić,"Zagreb, Croácia","Academy of Fine Arts, Zagreb",1926–1930,biografia institucional do artista; fontes de referência,biografia institucional do artista; fontes de referência,biografia institucional do artista; fontes de referência,,alta
Clara Heteny,Budapeste (Hungria),School of Applied Arts; Tibor Galle School of Drawing; Strasser Atelier,,https://www.hetenyfrancini.com/en/clara-heteny-biography/ | https://www.catalogodasartes.com.br/artista/Clara%20Heteny/,https://www.hetenyfrancini.com/en/clara-heteny-biography/ | https://www.catalogodasartes.com.br/artista/Clara%20Heteny/,,"A biografia consultada lista a formação inicial em Budapeste, mas sem datas precisas.",alta
Koos Hooykaas,"Haia, Países Baixos","Royal Academy of Art, The Hague",c. 1920s,biografia institucional do artista; fontes de referência,biografia institucional do artista; fontes de referência,biografia institucional do artista; fontes de referência,datas aproximadas,media
Hundertwasser,"Viena, Áustria",Academy of Fine Arts Vienna,1948,fontes biográficas de referência,fontes biográficas de referência,fontes biográficas de referência,frequência breve,alta
Nury Iyem,"Istambul, Turquia; Istambul, Turquia",Istanbul State Academy of Fine Arts; Higher Department of Painting,1933–1937; 1940,fontes biográficas de referência,fontes biográficas de referência,fontes biográficas de referência,,alta
Walter Jonas,"Stuttgart, Alemanha",Kunstgewerbeschule Stuttgart,s.d.,fontes biográficas de referência,fontes biográficas de referência,fontes biográficas de referência,instituição identificada; datas não localizadas com precisão,media
Tadashi Kaminagai,"Paris, França",,1927,https://pt.wikipedia.org/wiki/Tadashi_Kaminagai,,https://pt.wikipedia.org/wiki/Tadashi_Kaminagai,muda-se para Paris e é orientado na pintura por Tsuguharu Foujita; não foi localizada instituição formal,media
Mane-Katz,"Kiev, Ucrânia; Vilnius, Lituânia; Paris, França",Escola de Belas-Artes de Kiev; estudos em Vilnius; École des Beaux-Arts (atelier de Cormon),s.d.; s.d.; 1913–1914,https://www.artmajeur.com/mane-katz/pt,https://www.artmajeur.com/mane-katz/pt,https://www.artmajeur.com/mane-katz/pt,a trajetória inicial passa por Kiev e Vilnius antes da ida a Paris,media
Minoru Kawabata,"Tóquio, Japão",Tokyo Academy of Fine Arts,até 1934,https://www.alisonbradleyprojects.com/artists/41-minoru-kawabata/biography/,https://www.alisonbradleyprojects.com/artists/41-minoru-kawabata/biography/,https://www.alisonbradleyprojects.com/artists/41-minoru-kawabata/biography/,,alta
Aleksander Kobzdej,"Cracóvia, Polônia",Academy of Fine Arts in Kraków,c. 1946–1951,biografia institucional do artista; fontes de referência,biografia institucional do artista; fontes de referência,biografia institucional do artista; fontes de referência,datas aproximadas,media
Jan Lebensztejn,"Varsóvia, Polônia",Academy of Fine Arts in Warsaw,1948–1954,https://culture.pl/en/artist/jan-lebenstein,https://culture.pl/en/artist/jan-lebenstein,https://culture.pl/en/artist/jan-lebenstein,grafia variante do nome em fontes públicas: Jan Lebenstein,media
Richard Paul Lohse,"Zurique, Suíça",Kunstgewerbeschule Zürich,c. 1918–1922,biografia institucional do artista; fontes de referência,biografia institucional do artista; fontes de referência,biografia institucional do artista; fontes de referência,datas aproximadas,media
Peter Lubarda,"Belgrado, Sérvia",School of Fine Arts / Academy in Belgrade,1925–1929,biografia institucional do artista; fontes de referência,biografia institucional do artista; fontes de referência,biografia institucional do artista; fontes de referência,denominação institucional varia entre fontes,media
