Coluna 1,country of citizenship,educated at,ethnic group,place of birth,place of burial,place of death,sex or gender,fonte_educated_at,confianca_educated_at,observacoes_pesquisa,batch_origem,fonte_place_of_birth,confianca_place_of_birth
Antonella Mignone,Italy,Teatro Nuovo Ballet Academy of Turin | Accademia Isola Danza | La Sapienza University of Rome,,"Turin, Italy",,,female,APOTROPIA (site oficial),alta,"Fonte oficial do duo informa formação em dança em Turim, admissão na Accademia Isola Danza em 2001 e graduação em Art and Performing Arts em 2010.",nova_tentativa_04; place_of_birth_lote_04,APOTROPIA (bio oficial),alto
Anuar Elías,Mexico,autodidata,,Mexico City,,,male,Goethe-Institut Bolivien,alta,Fonte explicita “escritor y director autodidacta”.,nova_tentativa_04,,
Anushka Naanayakkara,Sri Lanka,The National Film and Television School,,"Loughborough, United Kingdom",,,female,site oficial da artista | FILE Festival,alto,Fonte explicita condição de alumna/ex-aluna da National Film and Television School.,9; place_of_birth_lote_04,Japan Media Arts Festival,alto
Aram Sarkisian,United States,California Institute of the Arts,,Russia,,,male,FILE Festival,alta,"Biografia do FILE explicita frequência ao California Institute of the Arts (CalArts), no programa Character Animation.",nova_tentativa_04; place_of_birth_lote_04,Animators for Armenia,médio
Ariana Boaventura,Brazil,Universidade Federal de Rondônia | União das Faculdades de Rondônia (UNIRON/UNINTES) | Serviço Nacional de Aprendizagem Comercial - MT (SENAC/MT) | Universidade do Estado de Mato Grosso,,,,,female,Escavador (Lattes),médio,"Formação acadêmica explicitada em perfil derivado do Lattes, com graduação, especializações, mestrado e doutorado em andamento. | place of birth não preenchido por ausência de fonte explícita de nascimento.",nova_tentativa_04; lote_22; place_of_birth_lote_04; place_of_birth_lote_02_chatgpt,,
Arnold Bagasha,Kingdom of Denmark,The Animation Workshop,,,,,male,site oficial / portfólio do artista,médio,Perfil oficial informa bacharelado em Animation (Computer Graphics Artist). | place of birth não preenchido por ausência de fonte explícita de nascimento.,nova_tentativa_04; place_of_birth_lote_04; place_of_birth_lote_02_chatgpt,,
Arthur Zeferino,Brazil,,,,,,male,,,"Autodeclaração localiza formação em Ciência da Computação, mas sem instituição nomeada; mantido em branco. | revisto no lote_30: fonte localizada informa graduação em Ciência da Computação, sem instituição nomeada | place of birth não preenchido por ausência de fonte explícita de nascimento.",nova_tentativa_04; lote_22; lote_30; place_of_birth_lote_04; place_of_birth_lote_02_chatgpt,,
Ash Thorp,United States,autodidata,,San Diego County,,,male,Creative Bloq (entrevista),médio,"Em entrevista, o artista declara explicitamente “I’m self-taught”.",nova_tentativa_04,,
Aurélie Herbet,France,Université Paris 1 Panthéon-Sorbonne | EnsadLab,,,,,female,Université Paris 1 / bleuOrange,médio,Fontes abertas confirmam doutorado em arts plastiques na Paris 1 e participação no ciclo de pesquisa EnsadLab; instituições do M1/M2 não aparecem nomeadas de forma totalmente explícita. | place of birth não preenchido por ausência de fonte explícita de nascimento.,nova_tentativa_04; place_of_birth_lote_04; place_of_birth_lote_02_chatgpt,,
Ava I-Wen Huang,Taiwan,New York University,,Taipei,,,female,Cake profile / NYU ITP archive,baixa,Perfil profissional indexado informa mestrado no Interactive Telecommunications Program (2014–2016); não consegui abrir uma fonte institucional completa com o mesmo detalhe nesta sessão.,nova_tentativa_04,,
Aysha Abulfateh,Bahrain,American University of Sharjah,,,,,female,site oficial da artista / CV,médio,Fonte oficial informa bacharelado em Multimedia Design. | place of birth não preenchido por ausência de fonte explícita de nascimento.,nova_tentativa_04; place_of_birth_lote_04; place_of_birth_lote_02_chatgpt,,
Barkın Şimşek,United States,New York University Abu Dhabi,,"Ankara, Turkey",,,male,FILE Festival,médio,Biografia do FILE explicita que era estudante de Engenharia Elétrica na New York University Abu Dhabi.,nova_tentativa_04; place_of_birth_lote_04,site pessoal,alto
,Turkey,,,,,,,,,Registro sem identificação na coluna principal; não foi possível pesquisar com segurança.,lote_26; place_of_birth_lote_04,,
Baron Lanteigne,Canada,,,Canada,,,male,,,Biografias e materiais públicos consultados não nomeiam instituição de ensino com segurança; mantido em branco. | revisto no lote_30: sem instituição explicitamente nomeada em fonte confiável localizada,nova_tentativa_04; lote_22; lote_30; place_of_birth_lote_04,Artsy,médio
Bas Jansen,Kingdom of the Netherlands,HKU University of the Arts Utrecht | University of Amsterdam,,,,,male,Next Nature interview,médio,Fonte explicita degree em 3D animation pela University of the Arts Utrecht e estudos de filosofia na University of Amsterdam. | place of birth não preenchido por ausência de fonte explícita de nascimento.,10; place_of_birth_lote_04; place_of_birth_lote_02_chatgpt,,
Ben Ozeri,,The Animation Workshop,,,,,male,FBF Animación,médio,"Biografia docente informa graduação em The Animation Workshop, na Dinamarca. | place of birth não preenchido por ausência de fonte explícita de nascimento.",nova_tentativa_04; place_of_birth_lote_04; place_of_birth_lote_02_chatgpt,,
Benjamin Lebourgeois,France,Supinfocom – RUBIKA,,,,,male,FILE Festival,médio,"Biografia de grupo do FILE informa que a equipe se formou com louvor na Supinfocom – RUBIKA, em Valenciennes. | place of birth não preenchido por ausência de fonte explícita de nascimento.",13; place_of_birth_lote_04; place_of_birth_lote_02_chatgpt,,
Benoît Piccolini,Canada,,,,,,male,,,"Fontes abertas indicam trajetória em design de produto e animação, mas sem instituição formal nomeada com segurança. | revisto no lote_31: sem instituição explicitamente nomeada em fonte confiável localizada | place of birth não preenchido por ausência de fonte explícita de nascimento.",nova_tentativa_04; lote_22; lote_31; place_of_birth_lote_04; place_of_birth_lote_02_chatgpt,,
Bernardo Loureiro,Brazil,Universidade de São Paulo | Parsons School of Design,,,,,male,FILE Festival (biografia do artista),médio,place of birth não preenchido por ausência de fonte explícita de nascimento.,3; place_of_birth_lote_04; place_of_birth_lote_02_chatgpt,,
Bill Domonkos,United States,Cleveland Institute of Art,,"Toledo, Ohio",,,male,VideoChannel Interview Project,médio,Autodescrição em entrevista sobre formação; menciona BFA.,6; place_of_birth_lote_04,VideoChannel Interview Project,alto
Bill Psarras,Greece,"Goldsmiths, University of London | Ionian University | University of the Arts London",,Greece,,,male,FILE Festival (biografia do artista),médio,,3; place_of_birth_lote_04,FILE Festival,médio
Binh Minh Herbst,Vietnam,Burg Giebichenstein Kunsthochschule Halle,,Vietnam,,,female,Burg Giebichenstein Kunsthochschule Halle,alta,Página institucional informa que o projeto SWING VR surgiu no âmbito do mestrado conjunto em Multimedia Design na BURG.,nova_tentativa_04; place_of_birth_lote_04,FILE Festival,médio
Bird Swarm,Portugal,,,"Funchal, Madeira",,,male,,,"Identificado como Nelson P. Ferreira (Bird Swarm), mas as fontes consultadas não nomeiam instituição de ensino. | revisto no lote_31: sem instituição explicitamente nomeada em fonte confiável localizada",nova_tentativa_04; lote_22; lote_31; place_of_birth_lote_04,FILE Festival,alto
Birk Von Brockdorff,,The Animation Workshop,,,,,male,MOME,médio,Página de evento informa graduação na TAW em 2012.,6; place_of_birth_lote_04,,
Bittler Bernard,France,autodidata,,,,,male,Bedetheque,médio,"Fonte biográfica descreve o artista como “autodidacte”, embora também mencione aprendizagem em desenho industrial e um BTS sem instituição nomeada.",nova_tentativa_04; place_of_birth_lote_04,,
Blake Marques Carrington,United States,Indiana University Bloomington | Syracuse University,,,,,male,Pratt Institute (perfil institucional),alta,Fonte institucional explicita B.A. em Digital Media na Indiana University Bloomington e M.F.A. em Computer Art na Syracuse University.,nova_tentativa_05; place_of_birth_lote_04,,
Bohyun Yoon,South Korea,Tama Art University,,Seoul,,,male,,,,,,
,,Rhode Island School of Design,,,,,,,,,place_of_birth_lote_04,,
Bonnie Mitchell,United States,University of Oregon,,,,,female,ACM SIGGRAPH History Archives,médio,Arquivo profissional explicita MFA em Visual Design/Computer Art.,6; place_of_birth_lote_04,,
Boris du Boullay,France,Université Paris 8 Saint-Denis | Greta Sud Isère | Institut des Arts de Diffusion (IAD) | Université Paris-Sorbonne,,,,,male,Viadeo,baixo,Informação localizada em perfil profissional secundário; não localizei confirmação institucional direta.,nova_tentativa_05; place_of_birth_lote_04,,
Gonzalo Borondo,Spain,Universidad Complutense de Madrid | Accademia di Belle Arti di Roma,,Valladolid,,,male,entrevista Stampa Reggiana + fontes secundárias convergentes,media,"A Accademia di Belle Arti di Roma aparece explicitamente em entrevista com o artista; a Universidad Complutense de Madrid surge em fontes secundárias convergentes, mas sem detalhamento no site oficial atual.",nova_tentativa_05,,
Brandon Morse,United States,University of Wisconsin–Stevens Point | The Ohio State University,,"Arlington, Texas",,,male,University of Maryland (perfil institucional),alta,Perfil institucional informa BFA pela University of Wisconsin–Stevens Point e MFA in Art & Technology pela Ohio State University.,nova_tentativa_05; place_of_birth_lote_04,artnet,médio
Brice Roy,France,Université de Technologie de Compiègne,,,,,male,HAL (tese UTC),alto,Tese de doutorado identifica explicitamente a Université de Technologie de Compiègne.,nova_tentativa_05; lote_22; place_of_birth_lote_04,,
Brit Bunkley,United States,Macalester College,,New York City,,,male,,,,,,
Bruno Borne,Brazil,Universidade Federal do Rio Grande do Sul,,"Porto Alegre, RS",,,male,Galeria Mamute / perfil institucional,alta,Fonte institucional informa mestrado e doutorado em Artes Visuais pela UFRGS; mantive apenas a instituição para compatibilidade com a coluna.,nova_tentativa_05; place_of_birth_lote_04,Fundação Vera Chaves Barcellos,alto
Bruno Martelli,United Kingdom,Central Saint Martins,,,,,male,Computer Arts Society,médio,Perfil do duo Gibson/Martelli informa que Bruno Martelli graduated from Central St. Martins. | place of birth não preenchido por ausência de fonte explícita de nascimento.,9; place_of_birth_lote_06,,
Bruno Ministro,Portugal,Faculdade de Letras da Universidade de Coimbra | Faculdade de Ciências Sociais e Humanas da Universidade Nova de Lisboa,,Portugal,,,male,FILE Festival (biografia do artista),médio,local de nascimento identificado apenas em nível de país.,3; place_of_birth_lote_06,A Glimpse Of,médio
Bryn Oh,Canada,Ontario College of Art and Design | Toronto School of Art | Seneca College,,"Toronto, Canada",,,,FILE Festival (biografia da artista),médio,,3; place_of_birth_lote_06,Patreon oficial da artista,alto
Burcu Sankur,Turkey,Supinfocom,,"Istanbul, Turkey",,,female,Acme Filmworks (biografia),media,Biografia informa que Burcu Sankur e Geoffrey Godet se graduaram na Supinfocom em 2013.,nova_tentativa_05; place_of_birth_lote_06,FILE Festival,alto
Bárbara Cani,Brazil,Universidade Federal do Espírito Santo | Accademia Europea di Firenze,,,,,female,site oficial da artista | FILE Festival,alto,Portfólio oficial detalha bacharelado em Desenho Industrial na UFES e formação em Design de Produtos em Florença. | place of birth não preenchido por ausência de fonte explícita de nascimento.,8; place_of_birth_lote_06,,
Béatrice Viguier,France,Supinfocom Rubika School,,,,,female,FILE Festival (biografia da artista),médio,place of birth não preenchido por ausência de fonte explícita de nascimento.,3; place_of_birth_lote_06,,
C130,,,,,,,male,,,"Identificado como Ian Ross (C130), mas não localizei instituição de ensino com segurança; homônimos recomendam cautela. | revisto no lote_31: sem instituição explicitamente nomeada em fonte confiável localizada | place of birth não preenchido por ausência de fonte explícita de nascimento.",nova_tentativa_05; lote_22; lote_31; place_of_birth_lote_06,,
CaRTe bLaNChe: Tanaami,Japan,Musashino Art University,,"Tokyo, Japan",,,male,"The National Art Center, Tokyo",alta,Fonte institucional do museu informa que Keiichi Tanaami graduou-se na Musashino Art University. | crédito do FILE remete a Keiichi Tanaami; place of birth preenchido para o artista identificado na fonte institucional.,nova_tentativa_05; place_of_birth_lote_06,"The National Art Center, Tokyo",alto
Camila Kamimura,Brazil,,,São Paulo,,,female,,,"Fontes abertas indicam formação em Comunicação Social/Jornalismo, porém sem instituição nomeada; mantido em branco. | revisto no lote_31: sem instituição explicitamente nomeada em fonte confiável localizada",nova_tentativa_05; lote_22; lote_31,,
Camille Burdy,France,ARIES School of Graphic and Motion Design,,,,,female,Ruffled Crow / créditos do filme escolar,media,Créditos e notas de circulação do curta indicam Camille Burdy como estudante da ARIES School of Graphic and Motion Design em Lyon. | place of birth não preenchido por ausência de fonte explícita de nascimento.,nova_tentativa_05; place_of_birth_lote_06,,
Camilo Giraldo Angel,Colombia,"Instituto Superior de Arte, La Habana",,Pereira,,,male,biografia oficial do artista,médio,"Biografia oficial informa graduação no ISA (Instituto Superior de Artes), em Havana, Cuba.",9,,
Camilo Herminda,Colombia,Jorge Tadeo Lozano University | National University of Córdoba | University of Caldas,,,,,male,ISEA Symposium Archives,media,"Arquivo do ISEA informa graduação em Graphic Design na Jorge Tadeo Lozano University, especialização em Medial Arts na National University of Córdoba e mestrado/doctorado em andamento na University of Caldas. | place of birth não preenchido por ausência de fonte explícita de nascimento.",nova_tentativa_05; place_of_birth_lote_06,,
Carl Burton,,,,,,,male,,,"Fonte secundária menciona estudos em fine art, mas sem nomear instituição; mantido em branco. | revisto no lote_31: sem instituição explicitamente nomeada em fonte confiável localizada | place of birth não preenchido por ausência de fonte explícita de nascimento.",nova_tentativa_05; lote_22; lote_31; place_of_birth_lote_06,,
Carl Emil Carlsen,Kingdom of Denmark,Designskolen Kolding,,Denmark,,,male,Worksome,médio,Perfil profissional público informa MA em Interaction Design (2003–2008). | local de nascimento identificado apenas em nível de país.,nova_tentativa_05; lote_22; place_of_birth_lote_06,cec.dk,médio
Carla Gannis,United States,Boston University College of Fine Arts,,Oxford,,,female,,,,,,
Carmen Gil Vrolijk,Colombia,Universidad de los Andes | Pontificia Universidad Javeriana,,,,,female,CvLAC / Voltaje,alto,Formação explicitada como pregrado em Artes Plásticas e maestría em Literatura. | place of birth não preenchido por ausência de fonte explícita de nascimento.,11; place_of_birth_lote_06,,
Cedric Yon,,Pratt Institute,,,,,male,Saatchi Art,médio,"Perfil público do artista lista Pratt Institute, New York, na seção EDUCATION. | place of birth não preenchido por ausência de fonte explícita de nascimento.",nova_tentativa_05; lote_22; place_of_birth_lote_06,,
Celina Portella,Brazil,Pontifícia Universidade Católica do Rio de Janeiro | Université Paris VIII,,"Rio de Janeiro, Rio de Janeiro, Brazil",,,female,FILE Festival,médio,,6; place_of_birth_lote_06,Itaú Cultural / Zipper Galeria,alto
Chan Stéphie Peang,,Supinfocom Rubika School,,,,,,FILE Festival,médio,"Biografia individual e de grupo do FILE indicam graduação pela Supinfocom Rubika School, em Valenciennes, com mestrado em Digital Directing. | place of birth não preenchido por ausência de fonte explícita de nascimento.",13; place_of_birth_lote_06,,
Chi Po Hao,Taiwan,"Goldsmiths, University of London",,Taipei,,,male,,,,,,
,,National Taiwan University,,,,,,,,Nome ausente na planilha; não foi possível pesquisar o local de nascimento com segurança.,place_of_birth_lote_12,,
,,Massachusetts Institute of Technology,,,,,,,,Nome ausente na planilha; não foi possível pesquisar o local de nascimento com segurança.,place_of_birth_lote_12,,
Chris Romero,United States,New York University,,"New Brunswick, New Jersey, USA",,,male,AIR 3331 / Tokyo Arts and Space,médio,Perfil curatorial explicita MA in Museum Studies from New York University.,9; place_of_birth_lote_06,site oficial do artista,alto
Chrischa Venus Oswald,Germany,University of Art and Design Linz,,Germany,,,female,site oficial da artista,alta,"A biografia oficial informa estudos em Fine Arts na University of Art and Design Linz, na Áustria. | local de nascimento identificado apenas em nível de país.",nova_tentativa_05; place_of_birth_lote_06,site oficial da artista / FILE Festival,médio
Christian Merrill,United States,Bowling Green State University,,,,,male,FILE Festival,médio,Biografia do FILE explicita Master of Fine Arts em arte digital. | place of birth não preenchido por ausência de fonte explícita de nascimento.,8; place_of_birth_lote_06,,
Christin Marczinzik,Germany,Magdeburg-Stendal University | International University of Fine Arts in Poznan | Burg Giebichenstein University of Art and Design,,"Magdeburg, Germany",,,female,Frankfurter Kunstverein,alta,"Fonte institucional do museu informa estudos em Industrial Design na Magdeburg-Stendal University e na International University of Fine Arts in Poznan, além de Multimedia Design na Burg Giebichenstein University of Art and Design.",nova_tentativa_05; place_of_birth_lote_06,FILE Vitória,alto
Christina Radner,,University of Vienna,,,,,female,FILE Festival (biografia da artista),médio,,3; place_of_birth_lote_07,,
Christo Guelov,Spain,Universidad Complutense de Madrid,,"Veliko Tarnovo, Bulgaria",,,male,FILE Festival (biografia do artista),médio,Fonte secundária explícita informa nascimento em Veliko Tarnovo.,3; place_of_birth_lote_07,highlike / ARTEINFORMADO,media
Claire Dejoie,France,RUBIKA,,,,,female,SIGGRAPH History Archives / créditos de produção,media,A afiliação na SIGGRAPH History Archives e os créditos do filme 'Rose bleue' situam Claire Dejoie na RUBIKA (Supinfocom Valenciennes).,nova_tentativa_05; place_of_birth_lote_07,,
Claire Vandermeersh,France,Supinfocom – RUBIKA,,,,,female,FILE Festival,médio,"Biografia de grupo do FILE informa que a equipe se formou com louvor na Supinfocom – RUBIKA, em Valenciennes.",13; place_of_birth_lote_07,,
Claire Villacorta,Philippines,University of the Philippines Diliman,,,,,female,"Department of Art Studies, UP Diliman",media,A identificação converge para Elaine Claire Villacorta; o site institucional da UP Diliman a apresenta com MA Art Studies: Art Theory and Criticism pela University of the Philippines Diliman.,nova_tentativa_05; place_of_birth_lote_07,,
Clara Reial,Brazil,Universidade de Fortaleza,,,,,female,FILE Festival,médio,"Biografia informa estudos em Arquitetura, sem detalhar conclusão do curso.",6; place_of_birth_lote_07,,
Clarissa Ribeiro,Brazil,Escola de Comunicações e Artes da Universidade de São Paulo (ECA-USP),,,,,female,FILE Festival (biografia da artista),médio,,3; place_of_birth_lote_07,,
Clemens Wirth,Austria,Salzburg University of Applied Sciences (FH Salzburg),,,,,male,FILE Festival; FH Salzburg,médio,,3; place_of_birth_lote_07,,
Constance Joliff,France,Beaux-Arts de Bordeaux | École de Cinéma d’Animation Georges Méliès,,"Vannes, France",,,female,FILE Festival (biografia da artista),médio,Biografias convergentes informam nascimento em Vannes.,3; place_of_birth_lote_07,KuB / FILE Festival,alto
Corentin Monnier,France,The Animation Workshop,,"Saint-Malo, France",,,male,CV do artista,médio,CV pessoal lista Bachelor of Arts in Character Animation (2012–2016).,6; place_of_birth_lote_07,CV oficial,alto
Cornelius Joksch,Germany,Weissensee School of Art Berlin | University of the West of England,,,,,male,site oficial do artista,alta,O site oficial informa 'Junior' como BA film na Weissensee School of Art Berlin e 'Adultland' como filme de graduação de MA na University of the West of England.,nova_tentativa_05; place_of_birth_lote_07,,
Costanza Savarese,Italy,Conservatorio di Musica Santa Cecilia,,,,,female,Viterbo Oggi,médio,Fonte secundária reputada informa diploma no Conservatorio di Musica Santa Cecilia.,nova_tentativa_06; lote_22; place_of_birth_lote_07,,
Céline Trouillet,France,École des Beaux-Arts de Mulhouse | École supérieure des arts décoratifs de Strasbourg,,"Colmar, France",,,female,https://in-sonora.org/ficha-artista/celine-trouillet/ | https://archive.file.org.br/participantes/celine-trouillet/,alto,Biografia explicita estudos de fotografia em Mulhouse e especialização em vídeo em Strasbourg.,nova_tentativa_06; place_of_birth_lote_07,FILE Festival / In-Sonora,alto
DRTHRDWR,Netherlands,Sandberg Institute | Gerrit Rietveld Academie,,,,,female,Academia.edu CV,médio,O FILE identifica DRTHRDWR como Agnieszka Zimolag; CV público lista Sandberg Institute e Gerrit Rietveld Academie.,nova_tentativa_06; lote_22; place_of_birth_lote_07,,
Daiana Ruiz,Argentina,,,"Mendoza, Argentina",,,female,,,Resultados localizados remetem majoritariamente à bailarina homônima; sem desambiguação segura para a participante do FILE. | revisto no lote_31: sem instituição explicitamente nomeada em fonte confiável localizada,nova_tentativa_06; lote_22; lote_31; place_of_birth_lote_07,Stuttgart Ballet,alto
Dalton Martins,Brazil,University of São Paulo,,Brazil,,,male,,,Fonte institucional informa apenas o país de nascimento.,place_of_birth_lote_07,FAPESP (perfil de pesquisador),media
Damien Deschamps,,,,,,,male,,,Nova busca não localizou fonte explícita e confiável que nomeie instituição de ensino. | revisto no lote_31: sem instituição explicitamente nomeada em fonte confiável localizada,nova_tentativa_06; lote_22; lote_31; place_of_birth_lote_07,,
Danae Gosset,France,School of Visual Arts,,,,,female,portfólio/site da artista,médio,Portfólio da artista vincula trabalhos de 2014-2018 ao período de estudos na School of Visual Arts.,9; place_of_birth_lote_07,,
Danae Io,Greece,"Sandberg Institute | Goldsmiths, University of London",,Greece,,,female,FILE Festival,médio,"Biografia do FILE informa MFA pelo Sandberg Institute e estudos na Goldsmiths, University of London. | Fonte consultada informa apenas o país de nascimento.",14; place_of_birth_lote_07,IFFR,media
Daniel Bruson,Brazil,"Universidade Estadual Paulista Júlio de Mesquita Filho (UNESP), Bauru",,,,,male,Jornal Cruzeiro do Sul,médio,Fonte jornalística reputada menciona curso de Design na Unesp de Bauru.,nova_tentativa_06; place_of_birth_lote_07,,
Daniel Gazana,Brazil,,,"Veranópolis, Rio Grande do Sul, Brazil",,,male,,,"Fontes consultadas informam formação em design industrial, mas sem instituição nomeada; mantido em branco. | revisto no lote_31: biografia do FILE informa formação em Desenho Industrial, sem instituição nomeada | Biografia de autor informa local e data de nascimento.",nova_tentativa_06; lote_22; lote_31; place_of_birth_lote_07,IEEE Xplore,media
Daniel Grizante,Brazil,Universidade Presbiteriana Mackenzie | Pontifícia Universidade Católica de São Paulo | Universidade Anhembi Morumbi,,,,,male,https://repositorio-api.animaeducacao.com.br/server/api/core/bitstreams/03bc7d2e-fca1-4e54-90ba-3359a722f18c/content | https://masp.org.br/masp-escola/design-de-exposicoes-e-o-uso-de-novas-tecnologias,alto,"Fontes convergentes indicam graduação em Design Industrial, mestrado em Comunicação e Semiótica e doutorado em Design.",nova_tentativa_06; place_of_birth_lote_07,,
Daniel Dugas,Canada,Université de Moncton,,Montreal,,,male,,,,,,
,,Université Sainte-Anne,,,,,,,,Nome ausente na planilha; não foi possível pesquisar o local de nascimento com segurança.,place_of_birth_lote_12,,
Daniel Rourke,United Kingdom,"Goldsmiths, University of London",,Huddersfield,,,male,,,,,,
Daniel Sousa,Portugal,Rhode Island School of Design,,Cape Verde,,,male,,,,,,
Daniela Krajčová,Slovakia,Vysoká škola výtvarných umení v Bratislave | Vysoká škola múzických umení v Bratislave,,"Žilina, Slovakia",,,female,https://www.oskarcepan.sk/cv/55.pdf | https://secondaryarchive.org/artists/daniela-krajcova/,alto,Currículo e biografia confirmam estudos em artes visuais e animação; há também referência a doutorado posterior na VŠVU.,nova_tentativa_06; place_of_birth_lote_07,portfólio oficial / Secondary Archive,alto
Danilo Dias,Brazil,Universidade Federal da Bahia | Universidade do Estado da Bahia,,,,,male,Mapa da Palavra (FUNCEB),alto,Biografia institucional explicita graduação na UFBA e pós-graduação em Game Design na UNEB.,nova_tentativa_06; lote_22; place_of_birth_lote_07,,
Daphné Durocher,France,École Georges Méliès,,,,,female,FILE Festival,médio,Biografia do FILE explicita continuação dos estudos em cinema de animação na escola Georges Méliès; a instituição do ciclo anterior em cinema e audiovisual não aparece nomeada no trecho recuperado.,20; place_of_birth_lote_07,,
Darren McClure,United Kingdom,,,,,,male,,,Resultados localizados trazem homônimos de outras áreas e biografias sem instituição claramente vinculada ao participante do FILE. | revisto no lote_31: sem instituição explicitamente nomeada em fonte confiável localizada,nova_tentativa_06; lote_22; lote_31; place_of_birth_lote_07,,
Dave Prosser,England,Royal College of Art,,,,,male,FILE Festival,médio,Biografia do FILE explicita graduação pelo Royal College of Art.,14; place_of_birth_lote_07,,
David Dell’Edera,Hungary,Budapest Metropolitan University,,Hungary,,,male,https://archive.file.org.br/participantes/david-delledera/ | https://www.animafest.hr/en/2017/authors/read/david_dell_edera,alto,Biografias de festival informam explicitamente ingresso na Budapest Metropolitan University. | Fontes consultadas informam apenas o país de nascimento.,nova_tentativa_06; place_of_birth_lote_07,FILE Festival / Animafest,alto
David James Armsby,Scotland,autodidata,,"Scotland, United Kingdom",,,male,https://www.youtube.com/@DeadSound | https://www.favoree.io/channel/deadsound,médio,Biografia do próprio artista indica formação majoritariamente autodidata em animação e cinema; menciona também curso local de Art and Design sem instituição nomeada. | Descrição do canal oficial informa nascimento na Escócia.,nova_tentativa_06; place_of_birth_lote_07,canal oficial no YouTube,media
David Mussel,Brazil,Escola de Belas Artes da Universidade Federal de Minas Gerais | Pontifícia Universidade Católica do Rio de Janeiro,,,,,male,PUC-Rio (dissertação) | FILE Festival,alto,,4; place_of_birth_lote_07,,
Davide Mastrangelo,Italy,Accademia di Belle Arti di Bologna,,"Eboli, Italy",,,male,https://davidemastrangelo.it/ | https://www.cinemaemiliaromagna.it/professionista/davide-mastrangelo/,alto,"Site oficial e base regional convergem em formação em Fotografia, Cinema e Televisão na Accademia di Belle Arti di Bologna. | Site oficial informa “Davide Mastrangelo (1989, Eboli)”.",nova_tentativa_06; place_of_birth_lote_08,site oficial do artista,alto
Davy Crosta,France,ARIES School of Graphic and Motion Design,,,,,male,FILE Festival,médio,A página da obra informa que o curta foi realizado por um grupo de 6 alunos da ARIES School.,10; place_of_birth_lote_08,,
Debashis Sinha,Canada,,,"Winnipeg, Manitoba, Canada",,,male,,,"Fonte institucional consultada menciona apenas Bachelor of Arts, sem nomear a instituição de ensino. | revisto no lote_31: página institucional menciona grau Bachelor of Arts, sem instituição nomeada | Perfil institucional informa que foi “born and raised in Winnipeg, Manitoba”.",nova_tentativa_06; lote_22; lote_31; place_of_birth_lote_08,Soulpepper Theatre,alto
Demian Rudel Rey,Argentina,Universidad Nacional de las Artes (UNA) | Conservatoire national supérieur musique et danse de Lyon (CNSMD de Lyon) | Universität für Musik und darstellende Kunst Graz (KUG) | Haute école des arts du Rhin (HEAR),,"Buenos Aires, Argentina",,,male,https://demianrudelrey.com.ar/es/biografia/ | https://www.demianrudelrey.com.ar/biographie/,alto,"Biografias em espanhol e francês detalham graduação e pós-graduação na UNA, estudos avançados no CNSMD de Lyon e formação complementar em Graz e Strasbourg. | Biografia oficial informa origem/nascimento em Buenos Aires.",nova_tentativa_06; place_of_birth_lote_08,site oficial do artista,alto
Diana Reichenbach,United States,University of Florida | University of Southern California,,,,,female,Letterboxd/TMDB | iotaCenter/YouTube,médio,"Fontes convergentes indicam BA em Anthropology e BS em Telecommunications na University of Florida, além de MFA em Animation and Digital Arts na University of Southern California.",9; place_of_birth_lote_08,,
Diana Salcedo,Colombia,"Pontificia Universidad Javeriana | The New School, Parsons School of Design",,"Bucaramanga, Colombia",,,female,Danza en la Ciudad,alto,"Perfil institucional informa pregrado em Artes Visuales na Pontificia Universidad Javeriana e MFA em Design and Technology na Parsons. | Perfil institucional informa “Diana Salcedo (Bucaramanga, 1987)”.",9; place_of_birth_lote_08,Danza en la Ciudad,alto
Dianne Bellino,United States,University of Iowa | Brown University,,,,,female,https://www.diannebellino.com/about,alto,"Página oficial informa MFA em Film/Video Production e BA with Honors em Creative Writing. | Fonte oficial indica apenas origem em Rhode Island, sem afirmar local de nascimento.",nova_tentativa_06; place_of_birth_lote_08,,
Dimitris Gkikas,Germany,Aristotle University of Thessaloniki | National Technical University of Athens,,"Athens, Greece",,,male,biografia profissional (INNER PLAN Design Studio),média,Biografia profissional explicita diploma em arquitetura na Aristotle University of Thessaloniki (2001) e pós-graduação na National Technical University of Athens (2004). | Biografia do FILE informa nascimento em Atenas.,nova_tentativa_06; lote_22; lote_31; place_of_birth_lote_08,FILE Festival,alto
Dina Al Khatib,Jordan,American University of Sharjah,,,,,female,https://hayyjameel.org/programmes/the-assembly/2020-2/,médio,"Biografia institucional informa que a artista recebeu seu degree na American University of Sharjah. | Fontes consultadas indicam Jordânia/EAU e formação, mas não local de nascimento explícito.",nova_tentativa_06; place_of_birth_lote_08,,
Dirk Koy,Switzerland,Basel Academy of Art and Design FHNW (HGK Basel),,"Basel, Switzerland",,,male,https://www.fhnw.ch/en/art-design/about/portrait-organisation/people/dirk-koy | https://www.kurzfilmtage.ch/en/archive/films/film-archive?fid=185&id_film=1851540,alto,Fonte institucional da FHNW confirma estudos em comunicação visual na academia de arte e design de Basel. | Fontes secundárias convergentes informam nascimento em Basel em 1977.,nova_tentativa_06; place_of_birth_lote_08,muda.co / Vimeo,media
